Concept,Topics,Chapter,Subject,No. of Problems,Chapter (D),Chapter (text),Column (text),Copy of No. of Problems,Subject( D),Date
$\int_0^{\frac{\pi}{2}}\sin^m{x}.\cos^n{x}dx$ using Gamma Function,https://www.notion.so/Gamma-Function-ec4433df537749bb8b13d9fbf3f2b197,,,,"Jun 28, 2020 11:18 AM","Jun 28, 2020 11:18 AM","Gamma Function ",,,"Jun 28, 2020 11:23 AM"
Concept,,,,,,,,,,"Jun 26, 2020 8:04 AM"
Important Formula,https://www.notion.so/Formulae-of-Integrations-282f4df7529848b3bdeb0f3ed2853094,,,,"Jun 26, 2020 11:48 AM","Jun 26, 2020 11:48 AM",Formulae of Integrations,,,"Jun 26, 2020 12:03 PM"
Integral of inverse functions (Laisant Theorem),https://www.notion.so/Miscellaneous-d2ac3252e51b42a4ba7c34d1be6dfd04,,,,"Jun 26, 2020 12:26 PM","Jun 26, 2020 12:26 PM",Miscellaneous,,,"Jun 26, 2020 12:42 PM"
"Partial Fractions ",https://www.notion.so/Partial-Fractions-5d2162095c6c460e935368679c033070,,,,"Jun 26, 2020 6:58 PM","Jun 26, 2020 6:58 PM",Partial Fractions,,,"Jun 26, 2020 7:05 PM"
"Integral of Linear /Quadratic ",https://www.notion.so/Integration-by-Substitution-1d8b3e8697be4ac8a8e4f70f75c1eb24,,,,"Jun 26, 2020 7:52 PM","Jun 26, 2020 7:52 PM",Integration by Substitution,,,"Jun 26, 2020 7:52 PM"
Integral of $\frac{\sqrt{Linear}}{\text{Linear or Quadratic}}$,https://www.notion.so/Integration-by-Substitution-1d8b3e8697be4ac8a8e4f70f75c1eb24,,,,"Jun 26, 2020 7:52 PM","Jun 26, 2020 7:52 PM",Integration by Substitution,,,"Jun 26, 2020 8:18 PM"
DI Method ( Integration By parts),https://www.notion.so/Integration-By-Parts-45d6eccf1e0b49519c758ca226f2e668,,,,"Jun 26, 2020 8:39 PM","Jun 26, 2020 8:39 PM",Integration By Parts,,,"Jun 26, 2020 8:39 PM"
Integration is independent of change of variable,https://www.notion.so/Properties-of-Definite-Integral-ea7ace0435674c74832a014a9a69b6cf,,,,"Jun 27, 2020 1:22 PM","Jun 27, 2020 1:22 PM",Properties of Definite Integral,,,"Jun 27, 2020 1:50 PM"
Definite integrals can be broken to different ranges,https://www.notion.so/Properties-of-Definite-Integral-ea7ace0435674c74832a014a9a69b6cf,,,,"Jun 27, 2020 1:22 PM","Jun 27, 2020 1:22 PM",Properties of Definite Integral,,,"Jun 27, 2020 1:51 PM"
Interchanging limits is same as putting a minus,https://www.notion.so/Properties-of-Definite-Integral-ea7ace0435674c74832a014a9a69b6cf,,,,"Jun 27, 2020 1:22 PM","Jun 27, 2020 1:22 PM",Properties of Definite Integral,,,"Jun 27, 2020 1:51 PM"
"If Symmetrical about $\color{red}\large a$ $\int_0^{2a}f(x)dx$ becomes $2\int_0^af(x)dx$ ,if skew Symmetric then becomes 0 ",https://www.notion.so/Properties-of-Definite-Integral-ea7ace0435674c74832a014a9a69b6cf,,,,"Jun 27, 2020 1:22 PM","Jun 27, 2020 1:22 PM",Properties of Definite Integral,,,"Jun 27, 2020 1:52 PM"
$\int_a^bf(x)dx=\int_a^bf(a+b-x)dx$,https://www.notion.so/Properties-of-Definite-Integral-ea7ace0435674c74832a014a9a69b6cf,,,,"Jun 27, 2020 1:22 PM","Jun 27, 2020 1:22 PM",Properties of Definite Integral,,,"Jun 27, 2020 2:02 PM"
For Periodic Functions with period T,https://www.notion.so/Properties-of-Definite-Integral-ea7ace0435674c74832a014a9a69b6cf,,,,"Jun 27, 2020 1:22 PM","Jun 27, 2020 1:22 PM",Properties of Definite Integral,,,"Jun 27, 2020 2:06 PM"
"Leibnitz Theorem for Implicit Functions ",https://www.notion.so/Leibnitz-Theorem-8df60005fd574e39b183e8fa6aa0a98e,,,,"Jun 27, 2020 2:10 PM","Jun 27, 2020 2:10 PM",Leibnitz Theorem,,,"Jun 27, 2020 2:29 PM"
Implicit v/s Explicit Function,https://www.notion.so/Leibnitz-Theorem-8df60005fd574e39b183e8fa6aa0a98e,,,,"Jun 27, 2020 2:10 PM","Jun 27, 2020 2:10 PM",Leibnitz Theorem,,,"Jun 27, 2020 2:29 PM"
Leibnitz theorem for Explicit Functions,https://www.notion.so/Leibnitz-Theorem-8df60005fd574e39b183e8fa6aa0a98e,,,,"Jun 27, 2020 2:10 PM","Jun 27, 2020 2:10 PM",Leibnitz Theorem,,,"Jun 27, 2020 2:30 PM"
